Epoch 1/50, Loss: 0.645538330078125, Val Loss: 0.5476988554000854
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.
Epoch 2/50, Loss: 0.6252527236938477, Val Loss: 0.5358322858810425
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.
Epoch 3/50, Loss: 0.6060130596160889, Val Loss: 0.5251449346542358
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.
Epoch 4/50, Loss: 0.587989091873169, Val Loss: 0.515780508518219
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.
Epoch 5/50, Loss: 0.5713546276092529, Val Loss: 0.5078954100608826
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.
Epoch 6/50, Loss: 0.5563256740570068, Val Loss: 0.5016154050827026
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.
Epoch 7/50, Loss: 0.5430908203125, Val Loss: 0.4970215857028961
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.
Epoch 8/50, Loss: 0.5317943096160889, Val Loss: 0.49408549070358276
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.
Epoch 9/50, Loss: 0.5224618911743164, Val Loss: 0.4926426410675049
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.
Epoch 10/50, Loss: 0.5149936676025391, Val Loss: 0.4925302565097809
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.
Epoch 11/50, Loss: 0.5092822909355164, Val Loss: 0.4934944808483124
Epoch 12/50, Loss: 0.5051367282867432, Val Loss: 0.4951850175857544
Epoch 13/50, Loss: 0.5022655725479126, Val Loss: 0.4972047805786133
Epoch 14/50, Loss: 0.5003138184547424, Val Loss: 0.4991295337677002
Epoch 15/50, Loss: 0.49890416860580444, Val Loss: 0.5005923509597778
Epoch 16/50, Loss: 0.4976806044578552, Val Loss: 0.5013041496276855
Epoch 17/50, Loss: 0.4963505268096924, Val Loss: 0.5010690093040466
Epoch 18/50, Loss: 0.49470555782318115, Val Loss: 0.499806672334671
Epoch 19/50, Loss: 0.49263066053390503, Val Loss: 0.4975312650203705
Epoch 20/50, Loss: 0.49008965492248535, Val Loss: 0.49431997537612915
Early stopping
/Users/haiyunning/Desktop/0_Py_project/Study_Notes/Tech Tools/weights&biases/examples/experiments.py:93: UserWarning: Starting a Matplotlib GUI outside of the main thread will likely fail.
  plt.figure(figsize=(6, 4))
